ch1_zc,ch1_ssc,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_zc,ch2_ssc,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_zc,ch3_ssc,ch3_mav,ch3_wl,ch3_rms,ch3_var,label
24,114,0.0028309999999999997,0.23974,0.003679,1.4000000000000001e-5,32,102,0.003164,0.320592,0.003966,1.6e-5,27,96,0.004647999999999999,0.418418,0.005922,3.5e-5,5
45,160,8.439999999999999e-4,0.136212,0.001007,1e-6,38,132,0.001144,0.15700999999999998,0.0014320000000000001,2e-6,57,173,9.609999999999999e-4,0.15451099999999998,0.001209,1e-6,0
29,135,0.002095,0.21185500000000002,0.0025109999999999998,6e-6,22,84,0.006964,0.522813,0.008524,7.3e-5,25,99,0.005425999999999999,0.473728,0.0065450000000000005,4.3e-5,9
24,126,0.002939,0.254182,0.003766,1.4000000000000001e-5,29,100,0.002771,0.28015,0.0033640000000000002,1.1e-5,22,113,0.003793,0.354003,0.004915,2.4e-5,5
51,167,0.001036,0.16858900000000002,0.001366,2e-6,29,82,0.003927,0.310746,0.005212,2.7000000000000002e-5,28,93,0.005571,0.48460299999999995,0.007035,4.9e-5,3
47,178,7.79e-4,0.146059,9.400000000000001e-4,1e-6,38,118,0.0015019999999999999,0.189943,0.001873,4e-6,30,104,0.003498,0.29170799999999997,0.004557,2.1e-5,0
44,108,0.008933,0.8282379999999999,0.016308,2.64e-4,48,115,0.012496,1.50227,0.021695,4.71e-4,39,103,0.016991,1.597273,0.028327999999999996,8.02e-4,7
34,72,0.0035549999999999996,0.381191,0.004499,2e-5,32,83,0.005609,0.49723199999999995,0.007965,6.3e-5,29,68,0.008931,0.8955069999999999,0.010717,1.1499999999999999e-4,3
32,57,0.009006,0.881396,0.011061,1.22e-4,27,67,0.009566,0.81929,0.011572,1.33e-4,21,70,0.016398,1.205352,0.019577,3.83e-4,1
30,110,0.003341,0.280889,0.00435,1.9e-5,22,67,0.010093000000000001,0.811391,0.012477,1.55e-4,18,78,0.007751999999999999,0.502905,0.009553,9.1e-5,5
